location,trap_set_date,week_ending_saturday,epi_week,year,site_type,virus
Georges River - West,45599,16/03/2024,12,2024,Sydney,Edge Hill
Liverpool,45599,16/03/2024,12,2024,Sydney,Edge Hill
Northern Beaches,13/03/2024,16/03/2024,12,2024,Sydney,Edge Hill
Sydney Olympic Park,18/03/2024,23/03/2024,12,2024,Sydney,Edge Hill
Ballina,34976,15/04/1995,16,1995,Coastal,Edge Hill
Maclean,34823,08/04/1995,16,1995,Coastal,Edge Hill
Port Stephens,38872,08/04/2006,16,2006,Coastal,Edge Hill
Port Stephens,13/04/2010,17/04/2010,16,2010,Coastal,Edge Hill
Byron Bay,15/04/2013,20/04/2013,16,2013,Coastal,Edge Hill
Central Coast,41551,13/04/2013,16,2013,Coastal,Edge Hill
Central Coast,15/04/2013,20/04/2013,16,2013,Coastal,Edge Hill
Port Stephens,41643,05/04/2014,16,2014,Coastal,Edge Hill
Central Coast,43834,04/04/2020,16,2020,Coastal,Edge Hill
Ballina,44473,10/04/2021,16,2021,Coastal,Edge Hill
Newcastle,45234,15/04/2023,16,2023,Coastal,Edge Hill
Central Coast,28/04/2024,04/05/2024,16,2024,Coastal,Edge Hill
Clarence Valley,28/04/2024,04/05/2024,16,2024,Coastal,Edge Hill
Moree,21/04/2025,26/04/2025,16,2025,Inland,Edge Hill
Georges River - East,39998,11/04/2009,16,2009,Sydney,Edge Hill
Georges River - East,27/04/2009,02/05/2009,16,2009,Sydney,Edge Hill
Bankstown,18/04/2013,20/04/2013,16,2013,Sydney,Edge Hill
Georges River - East,41309,06/04/2013,16,2013,Sydney,Edge Hill
Hawkesbury,41309,06/04/2013,16,2013,Sydney,Edge Hill
Hawkesbury,41551,13/04/2013,16,2013,Sydney,Edge Hill
Earlwood,45600,13/04/2024,16,2024,Sydney,Edge Hill
Northern Beaches,27/04/2024,27/04/2024,16,2024,Sydney,Edge Hill
Newcastle,44989,08/04/2023,17,2023,Coastal,Edge Hill
Forbes,20/04/2021,24/04/2021,17,2021,Inland,Edge Hill
Georges River - East,14/04/2009,18/04/2009,17,2009,Sydney,Edge Hill
Georges River - East,14/04/2013,20/04/2013,17,2013,Sydney,Edge Hill
Georges River - East,20/04/2017,22/04/2017,17,2017,Sydney,Edge Hill
Northern Beaches,20/04/2020,25/04/2020,17,2020,Sydney,Edge Hill
Lake Cathie,26/05/2025,31/05/2025,20,2025,Coastal,Edge Hill
Griffith,40913,05/05/2012,21,2012,Inland,Edge Hill
Bourke,37937,13/12/2003,51,2003,Inland,Edge Hill
Grong Grong,44693,10/12/2022,51,2022,Inland,Edge Hill
Penrith,13/12/2022,17/12/2022,51,2022,Sydney,Edge Hill
Griffith,33696,08/02/1992,7,1992,Inland,Flavivirus unspecified
Georges River - East,20/04/2017,22/04/2017,17,2017,Sydney,Flavivirus unspecified
Griffith,27/01/1993,30/01/1993,3,1993,Inland,Gan Gan
Newcastle,13/01/2025,18/01/2025,4,2025,Coastal,Gan Gan
Newcastle,45932,15/02/2025,7,2025,Coastal,Gan Gan
Central Coast,45779,08/02/2025,8,2025,Coastal,Gan Gan
Newcastle,45718,08/02/2025,8,2025,Coastal,Gan Gan
Newcastle,17/02/2025,22/02/2025,8,2025,Coastal,Gan Gan
Newcastle,24/02/2025,01/03/2025,8,2025,Coastal,Gan Gan
Bankstown,18/02/2025,22/02/2025,8,2025,Sydney,Gan Gan
Port Stephens,17/03/1992,21/03/1992,12,1992,Coastal,Gan Gan
Newcastle,17/03/2025,22/03/2025,12,2025,Coastal,Gan Gan
Condobolin,17/03/1992,21/03/1992,12,1992,Inland,Gan Gan
Bankstown,45994,15/03/2025,12,2025,Sydney,Gan Gan
Bankstown,18/03/2025,22/03/2025,12,2025,Sydney,Gan Gan
Georges River,18/03/2025,22/03/2025,12,2025,Sydney,Gan Gan
Penrith,45661,05/04/2025,16,2025,Sydney,Gan Gan
Hawkesbury,45873,12/04/2025,17,2025,Sydney,Gan Gan
Penrith,45873,12/04/2025,17,2025,Sydney,Gan Gan
Forbes,17/01/2021,23/01/2021,3,2021,Inland,Japanese encephalitis
Forbes,24/01/2022,29/01/2022,3,2022,Inland,Japanese encephalitis
Wagga Wagga,44835,15/01/2022,3,2022,Inland,Japanese encephalitis
Griffith,45363,07/12/2024,51,2024,Inland,Japanese encephalitis
Moree,22/12/2024,28/12/2024,51,2024,Inland,Japanese encephalitis
Griffith,29/01/2008,02/02/2008,3,2008,Inland,Kokobera
Albury,23/01/2017,28/01/2017,3,2017,Inland,Kokobera
Grong Grong,29/01/2024,03/02/2024,3,2024,Inland,Kokobera
Macquarie Marshes,22/01/2024,27/01/2024,3,2024,Inland,Kokobera
Temora,29/01/2024,03/02/2024,3,2024,Inland,Kokobera
Georges River - West,43709,12/01/2019,3,2019,Sydney,Kokobera
Forbes,31/01/2022,05/02/2022,4,2022,Inland,Kokobera
Forbes,30/01/2024,03/02/2024,4,2024,Inland,Kokobera
Bourke,38262,14/02/2004,7,2004,Inland,Kokobera
Bourke,21/02/2012,25/02/2012,7,2012,Inland,Kokobera
Leeton,21/02/2012,25/02/2012,7,2012,Inland,Kokobera
Forbes,15/02/2022,19/02/2022,7,2022,Inland,Kokobera
